,flux_DOC_interp_monthly,flux_DOC_interp_extra,flux_DOC_sensor,flux_SPM_interp_monthly,flux_SPM_interp_extra,flux_SPM_sensor
2018-01-31,0.0,0.0,91.69841709504847,0.0,0.0,0.0
2018-02-28,50.197800304203426,50.197800304203426,73.14367475966137,52.30382098720196,52.30382098720196,0.0
2018-03-31,84.3725965582621,84.3725965582621,69.48774806583123,95.86939546077731,95.86939546077731,0.0
2018-04-30,222.32352443460974,222.32352443460974,133.82198090365398,976.8194752545406,976.8194752545406,0.0
2018-05-31,1898.373467380927,1898.373467380927,1404.1816951538517,10592.936014008666,10592.936014008666,61.284047786971435
2018-06-30,974.5056726517543,974.5056726517543,1700.1467941168303,3299.6155359096792,3299.6155359096792,3706.2231377061357
2018-07-31,615.0687142443634,615.0687142443634,489.4998589669379,1185.3913018403005,1185.3913018403005,1049.1110768300275
2018-08-31,439.1413091824101,439.1413091824101,419.28625572274933,1160.3347873077628,1160.3347873077628,900.38607707116
2018-09-30,327.1589734024379,327.1589734024379,299.9911756433479,215.91348628734508,215.91348628734508,583.1745110081553
2018-10-31,475.55302894992684,475.55302894992684,471.08726384003944,304.8270606523158,304.8270606523158,824.1618697196483
2018-11-30,240.01450837996595,240.01450837996595,271.96831357812187,213.3773996215477,213.3773996215477,604.9656684125255
2018-12-31,181.46906850250707,181.46906850250707,177.9954980386824,169.50447094427926,169.50447094427926,262.94716322256295
2019-01-31,142.93594815722824,142.93594815722824,128.89211900108498,257.1758287357985,257.1758287357985,196.58250463927828
2019-02-28,126.87751407115852,126.87751407115852,121.87618894555057,252.91764550425947,252.91764550425947,215.09470014563664
2019-03-31,160.00963603374962,160.00963603374962,147.4012607035626,121.96072993978798,121.96072993978798,173.8300488264906
2019-04-30,340.635652526047,340.635652526047,472.82623300146406,805.3381976015014,805.3381976015014,1342.6113828457055
2019-05-31,1291.7530305858709,1904.2867902806727,2234.6684717074636,3624.700358035493,12789.560402498973,4490.638530243082
2019-06-30,1561.049496142529,1892.3853152898414,1839.897794468126,3349.645334611423,33512.74405306906,8977.748878236782
2019-07-31,644.4534558006819,644.4534558006819,639.2829864410123,1488.573994319062,1488.573994319062,1323.7831327609124
2019-08-31,195.82113246844523,195.82113246844523,246.34794969742123,366.351427853019,366.351427853019,534.5913214784819
2019-09-30,212.5707994878603,212.5707994878603,274.62170237922584,334.0029159654093,334.0029159654093,447.5659063023218
2019-10-31,168.65275266237032,168.65275266237032,179.89340112019894,387.90424942885295,387.90424942885295,324.37501485580606
2019-11-30,203.20765093155302,203.20765093155302,190.85167064011355,476.69581185223535,476.69581185223535,389.06194065385614
2019-12-31,158.18915677130497,158.18915677130497,148.2348036607696,109.5800760693503,109.5800760693503,214.83462794652445
2020-01-31,204.9026545281057,204.9026545281057,165.89270999552485,126.28270583537493,126.28270583537493,204.3399432332516
2020-02-29,60.813935493305806,60.813935493305806,96.90928493283428,167.50546362127935,167.50546362127935,138.001646765895
2020-03-31,0.0,0.0,77.60372983753166,267.29252276957965,267.29252276957965,107.08517023841469
2020-04-30,0.0,0.0,132.23110300132004,443.972341136542,443.972341136542,146.07177523313203
2020-05-31,0.0,0.0,1028.7659902439034,604.7581482206604,5397.119149519199,1332.2002994810136
2020-06-30,0.0,0.0,3178.1735089460913,4376.076161264822,30382.533550193097,9905.317873973321
2020-07-31,0.0,0.0,738.578818743432,3202.403195549413,2804.917937326892,2535.7374611793643
2020-08-31,0.0,0.0,0.0,2322.237674915997,1880.1108410750676,1746.5204195662036
2020-09-30,0.0,0.0,0.0,1518.432133106915,1508.1409815388633,1108.3336023644188
2020-10-31,0.0,0.0,0.0,383.8330352293933,383.8330352293933,605.0043932375711
2020-11-30,0.0,0.0,0.0,431.5182675475721,431.5182675475721,554.3907096154261
2020-12-31,0.0,0.0,3.3230963720036497,312.9857814048183,312.9857814048183,298.0029788447325
2021-01-31,0.0,0.0,33.2309637200365,248.33567968573496,248.33567968573496,252.20968629275174
2021-02-28,0.0,0.0,0.0,217.20693255119815,217.20693255119815,188.5414058001023
2021-03-31,0.0,0.0,0.0,380.26674381194164,380.26674381194164,145.3140932983223
2021-04-30,0.0,0.0,0.0,488.5034285746797,488.5034285746797,215.0129169406722
2021-05-31,0.0,0.0,0.0,2955.0763087529513,2955.0763087529513,2579.468575350029
2021-06-30,0.0,0.0,0.0,10117.209578885084,10117.209578885084,28088.316229180164
2021-07-31,0.0,0.0,0.0,1704.4025217413964,1704.4025217413964,6600.416956811726
2021-08-31,0.0,0.0,0.0,364.7744535530286,364.7744535530286,1694.545144790419
2021-09-30,0.0,0.0,0.0,1620.2516338677433,1620.2516338677433,3889.8761125235615
2021-10-31,0.0,0.0,0.0,2194.405229594837,2194.405229594837,1619.6276893026209
2021-11-30,0.0,0.0,0.0,274.40442712558655,274.40442712558655,654.9899147309421
2021-12-31,0.0,0.0,0.0,94.17699163015405,94.17699163015405,769.6868786165303
