,flux_DOC_interp_monthly,flux_DOC_sensor,flux_SPM_interp_monthly,flux_SPM_sensor
2017-01-31,0.0,108.90528769549398,0.0,31.468170762386208
2017-02-28,77.98231304236799,87.67797899804295,21.1338019734912,30.856180387057243
2017-03-31,250.79193343647998,252.79482122881294,63.552256694848,75.61007018599089
2017-04-30,114.07282820602285,117.57613455335465,39.58605071310171,31.731891829055133
2017-05-31,144.37610740823078,139.17656076926107,59.15397970054511,39.582840852782496
2017-06-30,265.7399713292822,28.995726494148375,90.66946836078739,93.4361954472767
2017-07-31,46.26290801178514,40.88334133256463,15.733817912439772,14.738445279714238
2017-08-31,94.58998828753371,89.29431223113806,38.33245768220434,50.12395906271328
2017-09-30,459.47133052416,413.5176498734318,292.367472446016,154.52090191207841
2017-10-31,1070.7118927967201,815.5458613550037,877.9260550536437,698.052024805302
2017-11-30,227.67885938041118,193.63707618546994,66.40911959039416,85.50525139459747
2017-12-31,178.24156057012965,155.73285368740162,45.21076483870959,51.916357183228385
2018-01-31,219.02661432576,204.45451794126976,53.78049274260343,59.14372925835282
2018-02-28,134.07427300774154,133.57683026023764,31.667006835732924,35.2276511870664
2018-03-31,68.23356974551385,67.03254042230137,17.57460421421093,19.026987487798536
2018-04-30,416.57161041384825,456.0950494583561,165.19897393202976,161.42610546173893
2018-05-31,144.14416688413692,168.38318036869362,65.66126466497303,89.04548593970394
2018-06-30,24.141596705243884,20.57807500970984,9.530150501348915,14.551229523950319
2018-07-31,14.479695621186204,12.066161627217122,5.357621581580008,11.013781687803299
2018-08-31,12.924924517727998,10.171861510806423,4.294682333718171,7.700066983015286
2018-09-30,112.169294152704,129.552901694627,30.644529034220227,90.32481199219299
2018-10-31,46.85345062848,47.02030946477022,13.6594553923008,13.690676378768428
2018-11-30,306.20695024841143,326.52303461294406,120.86658340067314,133.16666997716882
2018-12-31,377.81705510306745,364.3132893931377,124.29634702830583,131.05091231541314
2019-01-31,124.13994167643428,128.44436643030906,19.962332077177063,31.70764775553349
2019-02-28,237.21596065727996,241.63170849977257,46.60871617125517,70.04904080395478
2019-03-31,486.0490255446857,531.4287158145544,98.11049829673142,160.22805909699844
2019-04-30,159.45743683840865,190.57837176453373,42.542276309155454,46.63274952838661
2019-05-31,137.68804315314915,160.53003062388981,52.882926552393975,55.31641250282647
2019-06-30,149.74617558314057,168.9223258585474,84.66269541668022,58.64271596408534
2019-07-31,43.575004491263996,42.883494029050794,22.123610215833597,16.476810588407357
2019-08-31,100.64484149239541,124.98910182985564,20.830014429167313,36.17643369290088
2019-09-30,176.68505471323886,151.6159093754521,58.21822651226194,82.7612977569041
2019-10-31,514.6836329310171,464.8386928568752,163.25525698815088,200.40884767369727
2019-11-30,627.0958435189372,573.3205035929615,122.28615074401714,231.55720221759807
2019-12-31,596.6812876533943,557.3818154286308,127.06079923760913,173.61080588870783
2020-01-31,258.700181381856,258.2267078210391,86.85059056218925,84.42435272121244
2020-02-29,335.54694257074283,345.9793326468628,159.02014033717714,135.0634868494644
2020-03-31,339.26687080704,373.1831556950983,111.679372439856,122.23112604527692
2020-04-30,50.53296288095999,58.897724675118184,9.969696185965715,18.153334951977886
2020-05-31,37.53938342301162,8.503416364632834,13.376175035543644,11.833040706643871
2020-06-30,51.85466370814052,51.93622755696382,18.446503324880226,29.939390878015693
2020-07-31,65.59254496203428,32.530940215576905,26.676872172082284,19.340483651425913
2020-08-31,64.18548627798857,18.634157324509506,24.732467700891426,53.73972115592486
2020-09-30,46.752915293485714,39.33150635702011,30.429999185605713,18.803779388828637
2020-10-31,415.6496089051886,290.4051463194386,288.36947071557256,136.97345068736286
2020-11-30,497.4039140519314,512.1231924706619,212.72532457784502,268.79589946412665
2020-12-31,1003.5628130147069,1090.2571738087422,401.201752206227,439.651359913926
2021-01-31,271.66094021311346,273.92996306764053,97.32312801307101,84.281808868975
2021-02-28,77.79905367078857,86.16539474824701,27.925309909830855,27.947821901252865
2021-03-31,181.82101501128,224.28913671475772,76.161372631056,76.98677417502054
2021-04-30,97.72872496352001,130.48218491813122,34.940178823551996,38.87835530065469
2021-05-31,201.208551571392,258.7725947866622,74.82691478510812,186.74203986400693
2021-06-30,60.99397892829257,66.91135035633937,22.066948074659656,64.34918747282568
2021-07-31,38.56530426973714,24.915871990181124,20.787568819097142,19.494066966133534
2021-08-31,48.88154538292114,54.100111711158895,26.38482800859154,20.260540612574207
2021-09-30,37.10366907730971,33.76325879333719,24.094592651997257,10.382557979799646
2021-10-31,350.34551621722284,313.76951415958393,303.0174258091817,118.03966231105669
2021-11-30,323.2333983102171,354.6524379625401,232.94656169362284,105.53019781123892
2021-12-31,103.87456474463998,152.0655120576055,34.202407258079994,39.487217040206495
2022-01-31,0.0,4.069871276288744,0.0,0.9191872316015999
