,Turbidity,SPM
2017-02-06,1.0366666666666666,1.74
2017-03-08,1.8529166666666665,1.4
2017-04-04,1.1191666666666666,1.56
2017-05-02,2.1575,2.48
2017-06-12,6.557916666666667,2.46
2017-07-03,2.8045833333333334,1.35
2017-08-07,24.447083333333335,2.89
2017-09-04,0.85125,1.53
2017-10-03,17.394583333333333,9.5
2017-11-06,1.8455519680416668,1.8
2017-12-05,2.03248001225,1.69
2018-02-07,0.9354166666666667,1.37
2018-03-05,0.57625,1.06
2018-04-03,1.4020833333333333,1.7
2018-05-02,2.6620833333333334,2.26
2018-06-04,1.66125,1.72
2018-07-03,11.684583333333334,1.57
2018-08-06,13.35875,1.42
2018-09-03,1.1958333333333333,1.27
2018-10-01,10.700000000000001,1.6
2018-11-05,1.8883333333333334,1.91
2018-12-03,4.175,2.56
2019-02-05,1.4358333333333333,1.16
2019-03-04,1.5339130434782609,1.12
2019-04-01,1.2204347826086956,1.16
2019-05-08,3.172083333333333,1.91
2019-05-27,3.8404166666666666,1.86
2019-07-01,2.0852173913043477,3.88
2019-08-05,3.2120833333333336,0.92
2019-09-02,4.382916666666667,1.35
2019-10-07,11.235416666666666,3.24
2019-11-04,1.6020833333333335,0.81
2019-12-02,3.580833333333333,1.63
2020-01-06,1.3241666666666667,1.07
2020-02-03,3.4158333333333335,3.09
2020-03-02,5.4925,2.12
2020-04-13,1.8883333333333334,0.6
2020-05-04,1.0654166666666667,1.8
2020-06-02,2.2529166666666667,1.66
2020-07-06,2.3229166666666665,2.2
2020-08-17,19.152083333333334,2.02
2020-09-07,1.7104166666666665,1.53
2020-11-02,13.1475,2.9
2020-12-07,4.1175,2.57
2021-01-25,1.8225,1.92
2021-02-08,1.4925,1.19
2021-03-01,2.85,2.38
2021-04-06,2.4233333333333333,1.48
2021-05-03,1.3608333333333336,1.77
2021-06-07,8.979999999999999,1.61
2021-07-05,5.307916666666666,2.09
2021-08-02,3.705,3.16
2021-09-06,1.4983333333333333,1.67
2021-10-04,7.04,6.67
2021-11-01,6.055833333333333,5.05
2021-12-13,1.9554166666666666,1.7
