datetime,Turbidity,SPM
2017-02-06 10:00:00,1.13,1.74
2017-03-08 07:00:00,1.47,1.4
2017-04-04 07:00:00,1.2,1.56
2017-05-02 18:00:00,2.08,2.48
2017-06-12 06:00:00,2.81,2.46
2017-07-03 09:00:00,1.92,1.35
2017-08-07 06:00:00,22.15,2.89
2017-09-04 10:00:00,0.78,1.53
2017-10-03 07:00:00,10.1,9.5
2017-11-06 10:00:00,1.851217712,1.8
2017-12-05 08:00:00,1.98597786,1.69
2018-02-07 15:00:00,0.89,1.37
2018-03-05 12:00:00,0.81,1.06
2018-04-03 11:00:00,1.41,1.7
2018-05-02 12:00:00,3.21,2.26
2018-06-04 07:00:00,1.94,1.72
2018-07-03 13:00:00,8.09,1.57
2018-08-06 11:00:00,19.31,1.42
2018-09-03 09:00:00,1.52,1.27
2018-10-01 10:00:00,9.66,1.6
2018-11-05 09:00:00,2.09,1.91
2018-12-03 10:00:00,4.38,2.56
2019-02-05 12:00:00,1.03,1.16
2019-05-08 19:00:00,2.42,1.91
2019-05-27 13:00:00,4.07,1.86
2019-07-01 13:00:00,3.91,3.88
2019-08-05 10:00:00,1.23,0.92
2019-09-02 08:00:00,4.32,1.35
2019-10-07 10:00:00,10.82,3.24
2019-11-04 12:00:00,1.59,0.81
2019-12-02 12:00:00,3.59,1.63
2020-01-06 15:00:00,1.36,1.07
2020-02-03 11:00:00,3.56,3.09
2020-03-02 11:00:00,5.6,2.12
2020-04-13 19:00:00,1.98,0.6
2020-05-04 11:00:00,1.04,1.8
2020-06-02 09:00:00,2.22,1.66
2020-07-06 11:00:00,2.17,2.2
2020-08-17 10:00:00,19.95,2.02
2020-09-07 13:00:00,1.69,1.53
2020-11-02 10:00:00,13.25,2.9
2020-12-07 12:00:00,3.77,2.57
2021-01-25 14:00:00,1.61,1.92
2021-02-08 11:00:00,1.77,1.19
2021-03-01 11:00:00,2.91,2.38
2021-04-06 13:00:00,2.17,1.48
2021-05-03 11:00:00,1.28,1.77
2021-06-07 09:00:00,9.05,1.61
2021-07-05 13:00:00,3.61,2.09
2021-08-02 12:00:00,3.69,3.16
2021-09-06 13:00:00,1.42,1.67
2021-10-04 11:00:00,6.87,6.67
2021-11-01 08:00:00,7.48,5.05
2021-12-13 12:00:00,1.83,1.7
